Sno,Brand,Category,Product_type,Product_Name,Product_code,Price
376,BIBA,Women,Kurta,OCHRE COTTON BLEND A-LINE KURTA PALAZZO SUIT SET,SKDASRTD8428SS23OCR,"₹10,950"
377,BIBA,Women,Kurta,BRIGHT PINK COTTON BLEND LAYERED KURTA SALWAR SUIT SET,SKDGULNAAZ8670SS23BRTPNK,"₹11,950"
378,BIBA,Women,Kurta,NAVY POLY VISCOSE STRAIGHT PRINTED 2 PIECE SET,WORKWEA2102AW23NVY,"₹3,299"
379,BIBA,Women,Kurta,PINK COTTON STRAIGHT KURTA PANTS SUIT SET,SKDASRTD7473SS23PNK,"₹3,599"
380,BIBA,Women,Kurta,OFF WHITE & PEACH COTTON STRAIGHT KURTA GARARA SUIT SET,SKDROSEBOW8644SS23OWHTPCH,"₹6,995"
381,BIBA,Women,Kurta,BLUE LIVA GATHERED KURTA PALAZZO SUIT SET,SKDASRTD7518AW23BLU,"₹3,999"
382,BIBA,Women,Kurta,OFF WHITE POLYESTER STRAIGHT PRINTED KURTA GARARA SUIT SET,SKDPSHNA9038AW23OWHT,"₹5,995"
383,BIBA,Women,Kurta,FUCHSIA VISCOSE BLEND STRAIGHT KURTA GARARA SUIT SET,SKDKNRI8925AW23FUS,"₹12,950"
384,BIBA,Women,Kurta,PINK & GREEN COTTON STRAIGHT KURTA PALAZZO SUIT SET,SKDRANG8934AW23PNKGRN,"₹4,599"
385,BIBA,Women,Kurta,CORAL RED LIVA GATHERED KURTA PARALLEL PANTS SUIT SET,SKDASRTD8910AW23CRLRED,"₹2,999"
386,BIBA,Women,Kurta,GREEN MODAL BLEND STRAIGHT PRINTED 2 PIECE SET,PANTSET2199AW23GRN,"₹3,299"
387,BIBA,Women,Kurta,CORAL POLYESTER STRAIGHT KURTA SALWAR SUIT SET,SKDASRTD8611AW23CRL,"₹7,500"
388,BIBA,Women,Kurta,RED SILK ANARKALI KURTA CHURIDAR SUIT SET,SKDDRGTSA8919AW23RED,"₹8,995"
389,BIBA,Women,Kurta,MUSTARD VISCOSE BLEND STRAIGHT KURTA GARARA SUIT SET,SKDKNRI8925AW23MUST,"₹12,950"
390,BIBA,Women,Kurta,GREEN LIVA STRAIGHT KURTA SLIM PANT SUIT SET,SKDASRTD8936AW23GRN,"₹2,799"
391,BIBA,Women,Kurta,ONION PINK COTTON GATHERED KURTA PALAZZO SUIT SET,SKDDABU8860AW23ONIPNK,"₹4,995"
392,BIBA,Women,Kurta,CORAL COTTON STRAIGHT KURTA PALAZZO SUIT SET,SKDINDTO8959AW23CRL,"₹3,299"
393,BIBA,Women,Kurta,ROHIT BAL OFF WHITE SILK & COTTON STRAIGHT KURTA SUIT SET,CKD8115SS23OWHT,"₹7,950"
394,BIBA,Women,Kurta,DEEP FUCHSIA POLYESTER STRAIGHT KURTA GARARA SUIT SET,SKDASRTD9067AW23FUS,"₹5,995"
395,BIBA,Women,Kurta,AQUA COTTON ASYMMETRIC KURTA CHURIDAR SUIT SET,SKDSKD2802SS22AQU,"₹4,599"
396,BIBA,Women,Kurta,SAGE GREEN COTTON ANARKALI KURTA PALAZZO SUIT SET,SKDASRTD8946AW23SAGEGRN,"₹5,499"
397,BIBA,Women,Kurta,DUSKY PINK FLARED KURTA LEHENGA SUIT SET,SKD6463SS22DSKYPNK,"₹19,995"
398,BIBA,Women,Kurta,BLACK RAYON GATHERED KURTA PALAZZO SUIT SET,SKDASRTD7518SS23BLK,"₹3,999"
399,BIBA,Women,Kurta,ONION PINK COTTON SILK STRAIGHT KURTA PALAZZO SUIT SET,SKDCHIKANKA7220SS22ONIONPNK,"₹9,950"
400,BIBA,Women,Blouse,FUSCHIA & LIME GREEN COTTON BLEND LEHENGA SET,SKDBANDHANI8680SS23FUSLGR,"₹12,950"
401,BIBA,Women,Kurta,BLACK POLYESTER GATHERED KURTA GARARA SUIT SET,SKDASRTD9066AW23BLK,"₹5,995"
402,BIBA,Women,Kurta,NAVY BLUE COTTON BLEND STRAIGHT KURTA CHURIDAR SUIT SET,SKDKANTHAK8160SS23NYBLU,"₹10,950"
403,BIBA,Women,Kurta,LIGHT BLUE COTTON STRAIGHT KURTA GARARA SUIT SET,SKDUMANG8444SS23LBLU,"₹7,500"
