Sno,Wear_type,Material_type,Reviews,color1,color2
182,"Kurta, Churidar, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Indigo,--------
183,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Mango,Red
184,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Yellow,--------
185,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Fuschia Pink,Blue
186,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Coral,--------
187,"Kurta, Jacket, Pant",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink,--------
188,"Kurta, Garara, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Red,--------
189,"Kurta, Pant, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Ice Blue,Pink
190,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blue,--------
191,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,Coral
